sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
101,Abharani Vinimay (P) Ltd,Kolkata,No,ICC,U63090WB1994PTC066731,Base
102,Abhay Commerce Pvt. Ltd.,Kolkata,No,ICC,U52395WB1991PTC051504,Base
103,Abhaykumar Lea-Fin & Investments (Private) Limited,Mumbai,No,ICC,U65990MH1994PTC078011,Base
104,Abhi Commercial & Finvest Pvt Ltd,Kolkata,No,ICC,U51909WB1991PTC053220,Base
105,Abhi Portfolio Pvt. Ltd.,New Delhi,No,ICC,U67120DL1996PTC077247,Base
106,Abhideep Plantation (P) Ltd,Kolkata,No,ICC,U36101WB1994PTC062073,Base
107,Abhideep Exports Pvt. Ltd,Kolkata,No,ICC,U28112WB1985PTC039532,Base
108,Abhideep Global Finance Private Limited,Kolkata,No,ICC,U67120WB1995PTC073407,Base
109,Abhilash Growth Fund Pvt. Ltd.,New Delhi,No,ICC,U74899DL1991PTC043052,Base
110,Abhimanyoo Business (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC071502,Base
111,Abhinandan Investments Limited (Name as per MCA - Abhinandan Tradex Limited),New Delhi,No,ICC,U51100DL1983PLC365478,Middle
112,Abhinandan Vanijya (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC064325,Base
113,Abhinav Capital Services Ltd. (Formerly Known As Abhinav Homes And Resorts Ltd.),Mumbai,No,ICC,L65990MH1994PLC083603,Base
114,Abhinav Leasing & Finance Ltd.,New Delhi,No,ICC,L65100DL1984PLC018748,Base
115,Abhiraj Trading And Investments Pvt. Ltd.,Mumbai,No,ICC,U65990MH1979PTC021042,Base
116,Abhiruchi Vision Pvt. Ltd,Kolkata,No,ICC,U51909WB1995PTC067566,Base
117,Abhisheik Portfolio Management Ltd.,New Delhi,No,ICC,U74899DL1993PLC052572,Base
118,Abhishek Capital Services (P) Ltd,Kolkata,No,ICC,U74140WB1995PTC070468,Base
119,Abhishek Chemicals Pvt.Ltd.,Kolkata,No,ICC,U24299WB1993PTC058641,Base
120,Abhishek Finance Co. Ltd.,New Delhi,No,ICC,U74899DL1984PLC019734,Base
121,Abhishek Finlease Limited,Ahmedabad,No,ICC,L67120GJ1995PLC024566,Base
122,Abhishek Finsec Private Limited,Kanpur,No,ICC,U67120UP1996PTC020472,Base
123,Abhishek Fiscal Services Pvt Ltd,Kolkata,No,ICC,U70101WB1990PTC048296,Base
124,Abhishek Share & Securities (P) Ltd,Kolkata,No,ICC,U67120WB1995PTC070467,Base
125,Abhishek Stock Broking Services (P) Ltd,Kolkata,No,ICC,U74140WB1995PTC070469,Base
126,Abhiyan Capital (India) Private Limited {Formerly: Dowell Fiscal Services Private Limited},Mumbai,No,ICC,U65999MH1995PTC289390,Base
127,Abinandan Holdings (P) Ltd,Kolkata,No,ICC,U67120WB1996PTC080496,Base
128,Abir Traders (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC075648,Base
129,Abm Finlease Private Limited,Kolkata,No,ICC,U71290WB1996PTC137638,Base
