sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
3540,Jaiguru Tradelink (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC078845,Base
3541,Jaihind Finance (India) Ltd.,Mumbai,No,ICC,U65910MH2001PLC131265,Base
3542,Jaik Leasing And Commercial Investment Limited,Kolkata,No,ICC,U65910WB1993PLC138101,Base
3543,Jaika Finance Ltd.,Mumbai,No,ICC,U65910MH1993PTC072040,Base
3544,Jaikapeesh Capital Private Limited,Kolkata,No,ICC,U24121WB1990PTC050450,Base
3545,Jaikarni Holdings P Ltd,Kolkata,No,ICC,U65910WB1991PTC051524,Base
3546,Jaimesh Investments (P) Ltd,Kolkata,No,ICC,U65993WB1985PTC039569,Base
3547,Jain Autofin Private Limited,Jaipur,No,ICC,U65999RJ2013PTC041362,Base
3548,Jain Estate Developers Pvt Ltd,Kolkata,No,ICC,U70109WB1987PTC042817,Base
3549,Jain Fiscal Services (P) Ltd.,Jaipur,No,ICC,U65923RJ1991PTC006170,Base
3550,Jain Foot Comforts Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC061952,Base
3551,Jain Mohini Securities Private Limited,Guwahati,No,ICC,U65929AS1992PTC003785,Base
3552,Jain Motor Finmart Private Limited,Jaipur,No,ICC,U65999RJ2016PTC055543,Base
3553,Jain Udyog Ltd.,Kolkata,No,ICC,U51909WB1994PLC065257,Base
3554,Jain Vanijya Udyog Ltd,Kolkata,No,ICC,L51909WB1984PLC038212,Base
3555,Jaina Fincap Services Private Limited,New Delhi,No,ICC,U65993DL1994PTC063555,Base
3556,Jainand Finvest Pvt. Ltd.,Raipur,No,ICC,U65929CT2017PTC008247,Base
3557,Jainco Finlease & Investment Pvt Ltd.,New Delhi,No,ICC,U74899DL1995PTC070635,Base
3558,Jainco Projects (I) Ltd,Kolkata,No,ICC,L40300WB1991PLC053444,Base
3559,Jainex Finance Ltd,Guwahati,No,ICC,U65921AS1993PLC003858,Base
3560,Jainex Securities Pvt Ltd,New Delhi,No,ICC,U67120DL1996PTC426795,Base
3561,Jainsons India Securities Private Ltd.,Guwahati,No,ICC,U65929AS1996PTC004704,Base
3562,Jainvest & Lease Finance Pvt Ltd,New Delhi,No,ICC,U72100DL1995PTC074046,Base
3563,Jaiprakash Overseas Finance Limited,Kolkata,No,ICC,U74899WB1996PLC171590,Base
3564,Jaipur Finance and Diary Products Pvt. Ltd.,Kolkata,No,Type-I,U67120WB1943PTC264272,Base
3565,Jairaj Finvest Pvt. Ltd.,Jaipur,No,ICC,U65993RJ1996PTC011356,Base
3566,Jairam Capital Invest Limited,Kolkata,No,ICC,U65923WB1991PLC052298,Base
3567,Jaishree Commotrade (P) Ltd,Kolkata,No,ICC,U51109WB1993PTC057562,Base
3568,Jaishreeram Vyapaar Pvt Ltd,Kolkata,No,ICC,U51909WB1995PTC069238,Base
3569,Jaisons Investment & Finance Limited,Mumbai,No,ICC,U67120MH1995PLC088729,Base
3570,Jaisri Properties & Exports Pvt. Ltd.,New Delhi,No,ICC,U67120DL1994PTC288056,Base
3571,Jaisukh Vinimoy (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC068822,Base
3572,Jajodia Consultants (P) Ltd,Kolkata,No,ICC,U74140WB1991PTC050741,Base
3573,Jajodia Finance Pvt Ltd,Kolkata,No,ICC,U65922WB1991PLC052578,Base
3574,Jakhar Estate & Investment (P) Ltd.,New Delhi,No,ICC,U74899DL1980PTC056091,Base
3575,Jakhetia Finance Pvt. Ltd.,Jaipur,No,ICC,U67120RJ1983PTC002708,Base
3576,Jalaj Trading & Investment Co Pvt Ltd,Mumbai,No,ICC,U65990MH1982PTC027244,Base
3577,Jalan Chemical Industries (P) Ltd,Kolkata,No,ICC,U29110WB1947PTC015145,Base
3578,Jalan Holding Pvt. Ltd.,Kolkata,No,ICC,U67120WB1991PTC051508,Base
3579,Jalan Industries Pvt Ltd,Kolkata,No,ICC,U51909WB1945PTC018880,Base
3580,"Jalan Securities Pvt. Ltd,",Mumbai,No,ICC,U67120MH1994PTC082041,Base
3581,Jalandhar Cargo Advances Ltd.,Chandigarh,No,ICC,U65921PB1992PLC012266,Base
3582,Jalco Financial Services Pvt Ltd.,New Delhi,No,ICC,U74899DL1990PTC038958,Base
3583,"Jaldhar Investments & Trading Co. Pvt. Ltd,",Mumbai,No,ICC,U67120MH1979PTC021875,Middle
3584,Jalpaiguri Holdings (P) Ltd,Kolkata,No,ICC,U67120WB1980PTC032627,Base
3585,Jalsagar Commodeal (P) Ltd (Name as per MCA - Anjani Advisory Services Private Limited),Kolkata,No,ICC,U51909WB1995PTC070181,Base
3586,Jamini Trading (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC078781,Base
3587,Jammu and Kashmir Development Finance Corporation Ltd,Jammu,No,ICC,U65920JK2005GOI002523,Base
3588,Jammu Financiers Pvt Ltd,Jammu,No,ICC,U67120JK1997PTC001628,Base
3589,Jammu Sai Holding & Hire Purchase Pvt. Ltd.,Jammu,No,ICC,U67110JK1997PTC001663,Base
3590,Jamnadas Morarjee Finance Pvt. Ltd (Name as per MCA - Bharath Fincorp Private Limited),Mumbai,No,ICC,U65923MH1992PTC067659,Base
3591,Jamnalal Parekh Finance Private Limited,Mumbai,No,ICC,U65920MH1995PTC095520,Base
3592,Jana Capital Limited,Chennai,No,CIC,U67100TZ2015PLC033424,Middle
3593,Jana Holdings Limited,Chennai,No,NOFHC,U74900TZ2016PLC033423,Base
3594,Jana Sahayog Hire Purchase Co.India Pvt.Ltd.,Guwahati,No,ICC,U65921AS1991PTC003570,Base
3595,Janakalyan Financial Services Private Limited,Kolkata,No,MFI,U74999WB2016PTC216823,Base
3596,Janardhan Trading Co Ltd,Kolkata,No,ICC,U65992WB1970PLC027687,Base
3597,Janasha Finance Private Limited,New Delhi,No,ICC,U67190DL2016PTC306911,Base
3598,Janashree Microfin Limited,Thiruvananthapuram,No,MFI,U65923KL2010PLC025691,Base
3599,Janesh Commercial & Credit (P) Ltd,Kolkata,No,ICC,U51311WB1990PTC050378,Base
3600,Jangi Growth Fund Pvt. Ltd.,New Delhi,No,ICC,U67120DL1991PTC043009,Base
3601,Jani Fincom (P) Ltd,Kolkata,No,ICC,U65992WB1997PTC083014,Base
3602,Janitor Distributors Private Limited,Jaipur,No,ICC,U51909RJ1994PTC065806,Base
3603,Janki Securities Ltd.,Kolkata,No,ICC,U51909WB1981PLC033762,Base
3604,Janman Investments Private Limited (Formerly known as Vini Investments Private Limited),Ahmedabad,No,ICC,U65993GJ2007PTC052158,Base
3605,Janmangal Consultants Pvt Ltd,Kolkata,No,ICC,U74210WB1990PTC049262,Base
3606,Janmangal Finance Pvt Ltd,Kolkata,No,ICC,U31300WB1986PTC040402,Base
3607,Jannhavi Investment Pvt Ltd,Mumbai,No,ICC,U65993MH1979PTC020902,Base
3608,Janpragti Commodities (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC068406,Base
3609,Jap Securities Pvt Ltd.,Kolkata,No,ICC,U67120WB1995PTC067099,Base
3610,Jar Metal Industries Pvt. Ltd.,New Delhi,No,ICC,U27109DL1988PTC032456,Base
3611,Jaro Fincap P Ltd (Previouly Known As Nambiar Finance & Leasing P Ltd),Mumbai,No,ICC,U65990MH1996PTC097225,Base
3612,Jasch Financial Services Ltd.,New Delhi,No,ICC,U74899DL1995PLC064600,Base
3613,Jashan Finlease Ltd. (Formerly Known As Kuljit Finance Pvt Ltd Old Cor Dtd.21.12.2000 Cancelled,Chandigarh,No,ICC,U65921PB1996PLC018686,Base
3614,Jasmine Limited,Mumbai,No,ICC,U51909MH2003PLC143178,Base
3615,Jaspat Investments & Consultancy P. Ltd.,Ahmedabad,No,ICC,U74140GJ1991PTC014909,Base
3616,Jaspreet Leasing & Finance Pvt Ltd,Mumbai,No,ICC,U65910MH1988PTC046743,Base
3617,Jassi Finance Private Ltd. (Old Name Kotkapura Finance Pvt. Ltd.),Chandigarh,No,ICC,U65921PB1991PTC011276,Base
3618,"Jassi Hire Purchase Ltd, Jalandhar (Converted To Cat-B Dt Oct 16, 2018)",Chandigarh,No,ICC,U65921PB1996PLC018722,Base
3619,Jatalia Finance Company Limited,New Delhi,No,ICC,U65100DL1990PLC039958,Base
3620,Jatan Mercantiles (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC063082,Base
3621,Jatayu Textiles & Industries Ltd,Mumbai,No,ICC,U17120MH1983PLC029380,Base
3622,Javab Financial Analyst P Ltd.,Mumbai,No,ICC,U74140MH1995PTC088055,Base
3623,Jawahar Credits & Holdings Pvt.Ltd.,New Delhi,No,ICC,U74899DL1993PTC054635,Base
3624,Jawsav Investments Pvt.Ltd.,New Delhi,No,ICC,U67120DL1990PTC039805,Base
3625,Jay Aar Commercial Pvt. Ltd.,Kolkata,No,ICC,U51109WB1983PTC036005,Base
3626,Jay Ajey Investments Limited,Chennai,No,ICC,U65991TN1990PLC019286,Base
3627,Jay Dee Ess Leasing Co. Pvt. Ltd.,New Delhi,No,ICC,U65100DL1986PTC026544,Base
3628,Jay Finance Private Limited,New Delhi,No,ICC,U65999DL2016PTC301674,Base
3629,Jay Gopal Fiscal Services Private Limited,Kolkata,No,ICC,U65929WB1991PTC242685,Base
3630,Jay Shree Growth Fund Pvt. Ltd.,New Delhi,No,ICC,U74899DL1990PTC040156,Base
3631,Jayachelve Financing And Leasing Private Limited,Chennai,No,ICC,U65991TN1986PTC013817,Base
3632,Jayant (India) Ltd,Kolkata,No,ICC,L51226WB1983PLC036407,Base
3633,Jayanti Commercial Ltd,Kolkata,No,ICC,L51109WB1983PLC035795,Base
3634,Jayapriya Capital Private Limted (formerly known as Pushup Consultants Pvt.Ltd),Chennai,No,ICC,U74899TN1995PTC174296,Base
3635,Jayashree Finvest Private Limited,Kolkata,No,ICC,U17299WB1979PTC032264,Base
3636,Jayasri Fiscal Services (P) Ltd,Kolkata,No,ICC,U65993WB1994PTC065208,Base
3637,Jaylakshmi Credit Company Limited,Ahmedabad,No,ICC,U51909GJ1971PLC001852,Base
3638,Jayostute Capital Private Limited (Formerly Pyar Finance Private Limited),Mumbai,No,ICC,U65921MH1979PTC330712,Base
3639,Jaysheel Investment Pvt Ltd.,Kolkata,No,ICC,U51909WB1995PTC073577,Base
3640,Jayshree Credit Services Private Limited (Formerly: Jayshree Dealers Private Limited),Bengaluru,No,ICC,U45201KA1996PTC202260,Base
3641,Jayton Trading Pvt. Ltd.,Kolkata,No,ICC,U51909WB1995PTC073138,Base
3642,Jazz Finvest Pvt. Ltd.,New Delhi,No,ICC,U67120DL1996PTC075480,Base
3643,JCC Holding Pvt Ltd,Kolkata,No,ICC,U65999WB1993PTC058902,Base
3644,JDL Stock Broking Services (P) Ltd,Kolkata,No,ICC,U67120WB1996PTC076555,Base
3645,JDS Capital Markets Pvt. Ltd.,Raipur,No,ICC,U65100CT1984PTC002594,Base
3646,Jedy Tapes (P) Ltd,Kolkata,No,ICC,U17236WB1980PTC032514,Base
3647,Jeevan Jyoti Vanijya Ltd.,New Delhi,No,ICC,U74899DL1982PLC044876,Base
3648,Jeevan Utthan Financial Services Private Limited[Formerly: Chandak Felt Works (P) Ltd],Kolkata,No,ICC,U67100WB1989PTC047559,Base
3649,Jeevandarshi Marketing Pvt. Ltd.,Kolkata,No,ICC,U51909WB1995PTC069334,Base
3650,Jeewan Commodities Private Limited,Mumbai,No,ICC,U65999MH1991PTC261149,Base
3651,Jemco Vanijya (P) Ltd,Kolkata,No,ICC,U65100WB1996PTC077484,Base
3652,Jemtec Engineering (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC071406,Base
3653,Jenko Business Pvt. Ltd.,Kolkata,No,ICC,U70109WB1985PTC038733,Base
3654,Jet (India) Pvt. Ltd.,Kolkata,No,ICC,U65100WB1984PTC038205,Base
3655,Jet Age Finance (P) Ltd.,Kolkata,No,ICC,U65999WB1986PTC040316,Base
3656,Jetair Properties (P) Ltd,Kolkata,No,ICC,U70101WB1993PTC058233,Base
3657,Jewel Commercial Pvt. Ltd.,New Delhi,No,ICC,U74899DL1986PTC026538,Base
3658,Jewel Rock Hire Purchase & Leasing (P)Ltd,Thiruvananthapuram,No,ICC,U65921KL1996PTC009845,Base
3659,Jewel Rock Tracon P Ltd,Kolkata,No,ICC,U51109WB1995PTC067363,Base
3660,Jewellock Trexim Private Limited,New Delhi,No,ICC,U51109DL1994PTC326264,Base
3661,Jfc Finance (India) Ltd.,New Delhi,No,ICC,U74899DL1995PLC072767,Base
3662,JFC Leasing (P) Ltd.,New Delhi,No,ICC,U74899DL1988PTC031049,Base
3663,Jhalar Vincom Pvt Ltd,Kolkata,No,ICC,U51909WB1994PTC065906,Base
3664,Jhanjhari Holdings Pvt Ltd,Kolkata,No,ICC,U51909WB1987PTC043030,Base
3665,Jhilik Promoters & Fincon (P) Ltd,Kolkata,No,ICC,U70101WB1993PTC057528,Base
3666,Jhp Finvest Pvt Ltd,Mumbai,No,ICC,U65999MH2010PTC206203,Base
3667,Jhunjhunu Commerce Pvt. Ltd.,Kolkata,No,ICC,U51909WB1995PTC069237,Base
3668,Jhunjhunwala Glass Ltd,Kolkata,No,ICC,U27104WB1990PLC050349,Base
3669,Jhunjhunwala Synthetic Ltd,Kolkata,No,ICC,U17111WB1990PLC050077,Base
3670,Jhv Finance & Leasing Ltd.,New Delhi,No,ICC,U65921UP1994PLC016129,Base
3671,Jill Mill Communications & Finvest (P) Ltd,Kolkata,No,ICC,U51494WB1991PTC051845,Base
3672,Jindal Capital Limited,New Delhi,No,ICC,L65910DL1994PLC059720,Base
3673,Jindal Capsec Private Limited,Kanpur,No,ICC,U67120UP1996PTC019695,Base
3674,Jindal Credit & Investments Limited,New Delhi,No,ICC,U65993DL1992PLC348156,Base
3675,Jindal Equipment Leasing And Consultancy Services Ltd,New Delhi,No,ICC,U65921DL1984PLC349767,Middle
3676,Jindal Fincap Ltd.,New Delhi,No,ICC,U74110DL1995PLC072124,Base
3677,Jindal Global Finance And Investment Limited,Kolkata,No,ICC,U65993WB1994PLC152481,Base
3678,Jindal Hire Purchase Pvt Ltd,Kolkata,No,ICC,U65921WB1996PTC118489,Base
3679,Jindal Leasfin Ltd.,New Delhi,No,ICC,L74899DL1994PLC059252,Base
3680,Jindal Multitrade Private Limited,Mumbai,No,ICC,U65923MH2013PTC251430,Base
3681,Jindal Saxena Financial Services (P) Ltd.,New Delhi,No,ICC,U74899DL1994PTC059100,Base
3682,Jinder Finance Pvt.Ltd.,New Delhi,No,ICC,U65100DL1996PTC080995,Base
3683,Jineshvar Securities Private Limited,Mumbai,No,ICC,U67120MH1994PTC077138,Base
3684,Jineshwar Trade Pvt Ltd,Kolkata,No,ICC,U51909DL1995PTC291554,Base
3685,Jio Credit Limited (Formerly: Jio Finance Limited),Mumbai,No,ICC,U64990MH2000PLC123731,Middle
3686,Jio Financial Services Limited (Formerly Reliance Strategic Investments Limited),Mumbai,No,CIC,L65990MH1999PLC120918,Middle
3687,Jitesh Finance P Ltd,Kolkata,No,ICC,U67120WB1985PTC039626,Base
3688,Jivitesh Commercial (P) Ltd,Kolkata,No,ICC,U51909UP1995PTC109613,Base
3689,JJ Fincap Private Limited (Old Name Radhasoami Resources Limited),Chennai,No,ICC,U65920TN1996PTC091070,Base
3690,JKS India Holdings Limited (Formerly J K S Finance Ltd),Kolkata,No,ICC,U65923WB2004PLC099198,Base
3691,JM Financial Credit Solutions Limited (Earlier FICS Consultancy Services Ltd),Mumbai,No,ICC,U74140MH1980PLC022644,Middle
3692,Jm Financial Home Loans Limited,Mumbai,No,HFC,U65999MH2016PLC288534,Middle
3693,JM Financial Products Ltd. (Formerly - JM Financial Products Pvt Ltd),Mumbai,No,ICC,U74140MH1984PLC033397,Middle
3694,JMJ Fintech Limited,Chennai,No,ICC,L51102TZ1982PLC029253,Base
3695,JMJ Microfin Private Limited (Formerly Palma Development Finance Private Limited),Chennai,No,MFI,U65999TZ1990PTC034890,Base
3696,JNB Sidhu Finance Private Limited,Kolkata,No,ICC,U65921WB1990PTC150789,Base
3697,JNJ Finance Company Private Limited,Kolkata,No,ICC,U65929WB1989PTC135154,Base
3698,JNJ Holdings P Ltd.,Mumbai,No,ICC,U67120MH1995PTC087466,Base
3699,Jodh Subh Traders (P) Ltd,Kolkata,No,ICC,U18101WB1989PTC047921,Base
3700,Jodhpur Properties & Finance Private Limited,Kolkata,No,ICC,U70101WB1994PTC064912,Base
3701,Jodhraj Finassist Private Limited,Kolkata,No,ICC,U65991WB1996PTC136396,Base
3702,Jogani Securities Pvt Ltd.,Mumbai,No,ICC,U67120MH2005PTC428338,Base
3703,Jogvin Leasing & Hire Purchase Private Ltd.,Mumbai,No,ICC,U65910MH1991PTC062145,Base
3704,Johal Investments Limited,New Delhi,No,ICC,U67120DL1990PLC209682,Base
3705,John Deere Financial India Private Limited,Mumbai,No,ICC,U65923PN2011PTC141149,Middle
3706,Jolen Marketing Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC072482,Base
3707,Jorehaut India Ltd,Kolkata,No,ICC,U65993WB1983PLC036595,Base
3708,Jothi Housing And Mortgage Finance Private Limited,Chennai,No,HFC,U65999TN2018PTC120810,Middle
3709,Jovial Investment And Trading Company Pvt. Ltd.,Mumbai,No,ICC,U65990MH2010PTC202490,Middle
3710,Joy Commercial Private Limited,New Delhi,No,ICC,U51909DL1993PTC052037,Base
3711,Jp Fincap Pvt.Ltd.,New Delhi,No,ICC,U65100DL1995PTC068428,Base
3712,JPBL Financial Services (P) Ltd.,New Delhi,No,ICC,U74899DL1995PTC065244,Base
3713,JPT Securities Ltd,Mumbai,No,ICC,L67120MH1994PLC204636,Base
3714,Jrm Securities & Finance Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC061467,Base
3715,JSK Holdings Pvt Ltd,Kolkata,No,ICC,U67120WB1994PTC065660,Base
3716,JSW Investments Pvt. Ltd. (CIC),Mumbai,No,CIC,U65993MH2005PTC152325,Middle
3717,JSW One Finance Limited,Mumbai,No,ICC,U64990MH2023PLC400710,Middle
3718,Jtc Carriers Ltd.,Kolkata,No,ICC,U63090WB1988PLC045628,Base
3719,Jublee Dealers (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC063603,Base
3720,Judicious Consultants P. Ltd,Kolkata,No,ICC,U74140WB1985PTC039172,Base
3721,Judicious Finvest (P) Ltd,Kolkata,No,ICC,U65923WB1992PTC054562,Base
3722,Jugantar Merchantile (P) Ltd,Kolkata,No,ICC,U24117WB1988PTC045750,Base
3723,Juhi Finlease Pvt Ltd,Kolkata,No,ICC,U70101WB1993PTC059650,Base
3724,Juhie India Pvt. Ltd.,New Delhi,No,ICC,U65100DL1978PTC009273,Base
3725,Jujhar Finance Limited,Chandigarh,No,ICC,U64910PB2024PLC062309,Base
3726,Julania Finance Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC062733,Base
3727,Julex Distributors (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC076826,Base
3728,Julius Baer Capital (India) Private Limited,Mumbai,No,ICC,U74899MH1995PTC186140,Middle
3729,"Jumbo Finance Ltd,",Mumbai,No,ICC,L65990MH1984PLC032766,Base
3730,Juniper Investments Ltd,Kolkata,No,ICC,U65993WB2006PLC110571,Base
3731,Juno Credit & Investment Ltd.,New Delhi,No,ICC,U74899DL1992PLC048779,Base
3732,Junoon Capital Services (P) Ltd.,New Delhi,No,ICC,U74899DL1996PTC080511,Base
3733,Jupiter Capital Private Limited,Bengaluru,No,ICC,U67120KA2004PTC033653,Middle
3734,Jupiter Credits (P) Ltd,Kolkata,No,ICC,U65922WB1992PTC056705,Base
3735,Jupiter Finvest Pvt Ltd.,Kolkata,No,ICC,U65999WB1991PTC053025,Base
3736,Jupiter Management Services Private Limited,New Delhi,No,ICC,U74140HR1989PTC035406,Base
3737,Jupiter Mercantiles (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC074122,Base
3738,Jupiter Projects (P)Ltd,Kolkata,No,ICC,U70109WB1993PTC057624,Base
3739,Jwel Moulders & Holdings (P) Ltd,Kolkata,No,ICC,U15491WB1992PTC056768,Base
3740,Jya Finance & Investment Co. Ltd.,Kanpur,No,ICC,U67120UP1995PLC018554,Base
3741,Jya Securities Ltd.,Kanpur,No,ICC,U67120UP1995PLC018541,Base
3742,Jyot International Marketing Limited,Ahmedabad,No,ICC,L65910GJ1989PLC012064,Base
3743,Jyoti Instalments (P) Ltd.,Kanpur,No,ICC,U65921UP1978PTC004650,Base
3744,Jyotsna Holding Pvt. Ltd.,New Delhi,No,ICC,U67120DL1983PTC017257,Base
3745,K B R Township Pvt. Ltd.,Kolkata,No,ICC,U70109WB1992PTC056333,Base
3746,K B Switchgear (P) Ltd,Kolkata,No,ICC,U74110WB1975PTC030102,Base
3747,K D Jag Holdings Pvt Ltd,Kolkata,No,ICC,U65993WB1988PTC043596,Base
3748,K K Fincorp Limited (Formerly Kuberkamal Industrial Investments Ltd.),Mumbai,No,ICC,L65990MH1981PLC023696,Base
3749,K L G Impex & Finvest Pvt. Ltd.,Kolkata,No,ICC,U51909WB1995PTC075693,Base
3750,K L G Orchards & Resorts Pvt. Ltd.,Kolkata,No,ICC,U01122WB1996PTC079257,Base
3751,K L R Vanijya (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC074866,Base
3752,K L S Commodities (P) Ltd,Kolkata,No,ICC,U51109WB1992PTC056397,Base
3753,K L Support Private Limited (Formerly: Shroff Chemicals Private Limited),Kolkata,No,ICC,U66190WB1960PTC024890,Base
3754,K M G Leasing & Advances Ltd.,New Delhi,No,ICC,U65910DL1988PLC030904,Base
3755,K M Industrial Investments Ltd,Kolkata,No,ICC,U67120WB1981PLC033287,Base
3756,K N S Exports Pvt Ltd,Kolkata,No,ICC,U27109WB1992PTC055614,Base
3757,K P Credit & Trader'S (P) Ltd,Kolkata,No,ICC,U65999WB1993PTC059739,Base
3758,K R Overseas (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC061965,Base
3759,K S R Capital Services Ltd,Chandigarh,No,ICC,U67120PB1994PLC015171,Base
3760,K S Vanijya Pvt Ltd,Guwahati,No,ICC,U67120AS1992PTC010826,Base
3761,K V Traders Pvt Ltd,Kolkata,No,ICC,U17297WB1989PTC047906,Base
3762,K. M. Global Credit Private Ltd.,Mumbai,No,ICC,U65999MH2018PTC308921,Base
3763,K. M. Global Financial Services Private Limited,Mumbai,No,Type-I,U65910MH2011PTC214241,Base
3764,K. M. Global P2P Finance Private Limited,Mumbai,No,P2P,U65990MH2020PTC339970,Base
3765,K. M. Steels Pvt Ltd,Kolkata,No,ICC,U27109AS1993PTC017487,Base
3766,K.B. Investments Ltd,Mumbai,No,ICC,U67120MH1978PTC020520,Base
3767,K.D. Hitek Tie-Up (P) Ltd,Hyderabad,No,ICC,U65100TG1994PTC126680,Base
3768,K.G. Finvest (P) Ltd.,New Delhi,No,ICC,U67120DL1995PTC074143,Base
3769,K.G.S.Capitals Pvt.Ltd.,New Delhi,No,ICC,U74899DL1993PTC056501,Base
3770,K.K. Capital Services Ltd.,New Delhi,No,ICC,U74899DL1996PLC078459,Base
3771,K.L.B Securities Private Ltd.,Ahmedabad,No,ICC,U67120GJ1995PTC024411,Base
3772,K.M.S. Finlease Ltd.,New Delhi,No,ICC,U65999DL1996PLC077122,Base
3773,K.R. Capitals Private Ltd.,New Delhi,No,ICC,U65100DL1995PTC067497,Base
3774,K.R.A.Leasing Limited,New Delhi,No,ICC,L65993DL1990PLC039637,Base
3775,K.S. Capital Services Pvt. Ltd.,Jaipur,No,ICC,U67120RJ1989PTC005154,Base
3776,K.V. Foundations India Ltd.,Kanpur,No,ICC,U65100UP1985PLC219339,Base
3777,K.Z. Leasing & Finance Ltd,Ahmedabad,No,ICC,L65910GJ1986PLC008864,Base
3778,Kaabil Finance Private Limited,Jaipur,No,ICC,U65929RJ2017PTC058138,Base
3779,Kaak Finance & Leasing Pvt. Ltd.,New Delhi,No,ICC,U74899DL1993PTC053546,Base
3780,"Kaar Lea Finvest Limited,",New Delhi,No,ICC,U65910DL1996PLC075991,Base
3781,Kabirdas Investments Limited,Kolkata,No,ICC,L65993WB1974PLC157598,Base
3782,Kadamba Mymoney Limited.,Bengaluru,No,ICC,U85110KA1995PLC019127,Base
3783,Kadambini Securities Pvt Ltd,Kolkata,No,ICC,U67120WB1996PTC081091,Base
3784,Kadambini Udyog Ltd.,Kolkata,No,ICC,U36900WB1984PLC102152,Base
3785,Kadanthottu Finance Private Limited,Thiruvananthapuram,No,ICC,U65923KL2008PTC022850,Base
3786,Kaf Capital Private Limited,Chennai,No,Type-I,U65993TN2021PTC144589,Base
3787,Kai Fincap Limited,Kanpur,No,ICC,U65990UP2018PLC109762,Base
3788,Kaikobad Byramjee & Son (Agency) Pvt. Ltd.,Mumbai,No,ICC,U74300MH1971PTC015241,Base
3789,Kailash Impex Pvt Ltd,Kolkata,No,ICC,U71536WB1995PTC071536,Base
3790,Kailashpati Forests Pvt Ltd,Kolkata,No,ICC,U65910WB1995PTC070040,Base
3791,Kairali Finance & Investments Private Limited,Thiruvananthapuram,No,ICC,U65993KL1980PTC003274,Base
3792,Kaizen Capital Services Pvt. Ltd.,New Delhi,No,ICC,U65993DL1994PTC063236,Base
3793,"Kajal Synthetics & Silk Mills Ltd,",Mumbai,No,ICC,L17110MH1985PLC035204,Base
3794,Kala Holdings (P) Ltd,Kolkata,No,ICC,U67120WB1993PTC058246,Base
3795,Kalandri Capital Private Limited,Bengaluru,No,ICC,U65929KA2017PTC107822,Base
3796,Kalani Financiers Pvt Ltd,New Delhi,No,ICC,U74140DL1988PTC385845,Base
3797,Kalati Holdings Pvt.Ltd.,New Delhi,No,ICC,U65100HR1991PTC101443,Base
3798,Kalatmak Vinimay Pvt Ltd,Kolkata,No,ICC,U51109WB1993PTC060910,Base
3799,Kaleidofin Capital Private Limited,Chennai,No,ICC,U65999TN2021PTC142215,Base
3800,Kali Fabrics Pvt. Ltd.,Kolkata,No,ICC,U17226WB1988PTC045799,Base
3801,Kalinga Financial Services Private Limited,Kanpur,No,ICC,U67190UP1985PTC007323,Base
3802,Kalinga Hire Purchase Finance Limited,Ahmedabad,No,ICC,U65921GJ1994PLC085263,Base
3803,Kalkut Vinimay Pvt Ltd,Kolkata,No,ICC,U51909WB2008PTC129596,Base
3804,Kallada General Finance Private Limited,Thiruvananthapuram,No,ICC,U65923KL2011PTC028854,Base
3805,Kallarakkal Fincorp Private Limited ( Formely Known As HMF Financial Services Private Limited),Bengaluru,No,ICC,U65910KA1994PTC015617,Base
3806,Kallur Chits And Finance (P)Ltd,Thiruvananthapuram,No,ICC,U65992KL1982PTC003565,Base
3807,Kalpaj Sales & Agencies Pvt. Ltd.,Mumbai,No,ICC,U51900MH1983PTC031348,Base
3808,Kalpataru Dealers Pvt Ltd,Kolkata,No,ICC,U51909WB1996PTC078837,Base
3809,Kalpataru Housefin & Trading (P) Ltd,Kolkata,No,ICC,U65922WB1992PTC054891,Base
3810,Kalpathi Investments Private Limited,Chennai,No,ICC,U65993TN2007PTC064246,Base
3811,Kalpavitta Finance Private Limited,Bengaluru,No,ICC,U74110KA2017PTC102069,Base
3812,Kalptaru Fincap Ltd.,New Delhi,No,ICC,U74899DL1995PLC070993,Base
3813,Kalra Hire Purchase & Finance Company Private Limited,Kanpur,No,ICC,U51103UP1996PTC020228,Base
3814,Kalyan Capitals Limited (Formerly Akashdeep Metal Industries Limited),New Delhi,No,ICC,L28998DL1983PLC017150,Base
3815,Kalyan Vyapaar Pvt. Ltd.,Mumbai,No,ICC,U51909MH1994PTC294476,Base
3816,Kalyana Impex (P) Ltd,Kolkata,No,ICC,U51431WB1990PTC049089,Base
